#,Source,Total Samples,Samples,Top Stall #1 (Type),Top Stall #1 (Samples),Top Stall #2 (Type),Top Stall #2 (Samples),Top Stall #3 (Type),Top Stall #3 (Samples),Avg. Warp Latency,Instruction Mix,Dependency-Attributed Samples,Live Registers
,textcoverage.glsl,,,,,,,,,
169,"%39 = OpString ""#version 450",,,,,,,,0,,,
170,#extension GL_GOOGLE_include_directive : require,,,,,,,,0,,,
171,,,,,,,,,0,,,
172,// World-space Scanline Sweeper lane: per-fragment analytic coverage over the shared glyph,,,,,,,,0,,,
173,// buffers. The em-space window is the fragment's panel-space footprint from screen,,,,,,,,0,,,
174,"// derivatives. Output is premultiplied, blended src-over onto the HDR target.",,,,,,,,0,,,
175,,,,,,,,,0,,,
176,"#include \""textcoverage.glsl\""",,,,,,,,0,,,
177,,,,,,,,,0,,,
178,layout(push_constant) uniform TextWorldPush {,,,,,,,,0,,,
179,mat4  mvp;,,,,,,,,0,,,
180,vec4  panel;,,,,,,,,0,,,
181,"uvec2 range;  // first instance index, instance count",,,,,,,,0,,,
182,} pc;,,,,,,,,0,,,
